Date/Time,Base,Lat,Lon,Hour,Day,cluster_kmeans,Lat_original,Lon_original,hora,periodo,faixa_dia,faixa_lat,faixa_lon,distancia_media_5vizinhos,anomalia_distancia
2014-05-01 04:41:00,B02512,0.4329178885630469,0.2933424028568971,0.1739130434782608,1,3,40.7695,-73.9621,4,madrugada,01-05,norte,leste,0.26672410414163616,False
2014-05-01 04:43:00,B02512,0.449046920821111,0.2887934699430303,0.1739130434782608,1,3,40.7827,-73.9728,4,madrugada,01-05,norte,centro_leste,0.2046180509408205,False
2014-05-01 04:44:00,B02512,0.428152492668616,0.2930022957231486,0.1739130434782608,1,3,40.7656,-73.9629,4,madrugada,01-05,norte,leste,0.2599564727005999,False
2014-05-01 04:51:00,B02512,0.3763440860215041,0.4570189609727038,0.1739130434782608,1,2,40.7232,-73.5771,4,madrugada,01-05,sul,leste,1.6101815223927638,True
2014-05-01 04:51:00,B02512,0.3423753665689162,0.2015559901368924,0.1739130434782608,1,3,40.6954,-74.178,4,madrugada,01-05,sul,oeste,0.32057827844755243,False
2014-05-01 04:58:00,B02512,0.4219208211143694,0.2826290281438623,0.1739130434782608,1,3,40.7605,-73.9873,4,madrugada,01-05,centro_norte,centro_oeste,0.18637333799445396,False
2014-05-01 05:00:00,B02512,0.3603372434017515,0.2768046934784429,0.217391304347826,1,3,40.7101,-74.001,5,madrugada,01-05,sul,oeste,0.23429053865660004,False
2014-05-01 05:01:00,B02512,0.4237536656891478,0.284882237904938,0.217391304347826,1,3,40.762,-73.982,5,madrugada,01-05,centro_norte,centro_leste,0.2136750877939276,False
2014-05-01 05:05:00,B02512,0.3647360703812339,0.2929172689397177,0.217391304347826,1,3,40.7137,-73.9631,5,madrugada,01-05,sul,leste,0.48594178612941674,False
2014-05-01 05:06:00,B02512,0.4411045943304046,0.2941076439078287,0.217391304347826,1,3,40.7762,-73.9603,5,madrugada,01-05,norte,leste,0.2418216101354675,False
2014-05-01 05:07:00,B02512,0.4116568914955962,0.2851798316469676,0.217391304347826,1,3,40.7521,-73.9813,5,madrugada,01-05,centro_norte,centro_leste,0.21710118925103514,False
2014-05-01 05:08:00,B02512,0.4453812316715471,0.2864552333985166,0.217391304347826,1,3,40.7797,-73.9783,5,madrugada,01-05,norte,centro_leste,0.1488385188273886,False
2014-05-01 05:17:00,B02512,0.4384164222873892,0.2847121843380655,0.217391304347826,1,3,40.774,-73.9824,5,madrugada,01-05,norte,centro_leste,0.16548182997296929,False
2014-05-01 05:17:00,B02512,0.3954056695992136,0.2760819658192304,0.217391304347826,1,3,40.7388,-74.0027,5,madrugada,01-05,centro_sul,oeste,0.20948142623066598,False
2014-05-01 05:18:00,B02512,0.4434261974584572,0.2879006887169417,0.217391304347826,1,3,40.7781,-73.9749,5,madrugada,01-05,norte,centro_leste,0.1643353325782791,False
2014-05-01 05:21:00,B02512,0.4227761485825994,0.277442394354221,0.217391304347826,1,3,40.7612,-73.9995,5,madrugada,01-05,centro_norte,oeste,0.23486124214057774,False
2014-05-01 05:23:00,B02512,0.4203323558162282,0.2672816937335263,0.217391304347826,1,3,40.7592,-74.0234,5,madrugada,01-05,centro_norte,oeste,0.39689784377403564,False
2014-05-01 05:24:00,B02512,0.5795454545454533,0.364849927727235,0.217391304347826,1,3,40.8895,-73.7939,5,madrugada,01-05,norte,leste,1.723558772626299,True
2014-05-01 05:27:00,B02512,0.40285923753666,0.2869228807074222,0.217391304347826,1,3,40.7449,-73.9772,5,madrugada,01-05,centro_sul,centro_leste,0.21113923027360518,False
2014-05-01 05:29:00,B02512,0.3420087976539534,0.2013859365700199,0.217391304347826,1,3,40.6951,-74.1784,5,madrugada,01-05,sul,oeste,0.26330158215088983,False
2014-05-01 05:30:00,B02512,0.4341397849462325,0.283309242411363,0.217391304347826,1,3,40.7705,-73.9857,5,madrugada,01-05,norte,centro_oeste,0.19749239228109056,False
2014-05-01 05:34:00,B02512,0.3879521016617815,0.2734886489244132,0.217391304347826,1,3,40.7327,-74.0088,5,madrugada,01-05,centro_sul,oeste,0.19534307343380453,False
2014-05-01 05:35:00,B02512,0.4683528836754576,0.2887509565513149,0.217391304347826,1,3,40.7985,-73.9729,5,madrugada,01-05,norte,centro_leste,0.27989232384199497,False
2014-05-01 05:36:00,B02512,0.4073802541544538,0.2884108494175699,0.217391304347826,1,3,40.7486,-73.9737,5,madrugada,01-05,centro_sul,centro_leste,0.20152883927615303,False
2014-05-01 05:38:00,B02512,0.3934506353861167,0.2614148456763878,0.217391304347826,1,3,40.7372,-74.0372,5,madrugada,01-05,centro_sul,oeste,0.3702089162020618,False
2014-05-01 05:38:00,B02512,0.4594330400782027,0.2920670011053445,0.217391304347826,1,3,40.7912,-73.9651,5,madrugada,01-05,norte,leste,0.2694107148381817,False
2014-05-01 05:39:00,B02512,0.3874633431085073,0.2797381175070121,0.217391304347826,1,3,40.7323,-73.9941,5,madrugada,01-05,centro_sul,centro_oeste,0.21569545228289905,False
2014-05-01 05:40:00,B02512,0.4491691104594366,0.2858600459144647,0.217391304347826,1,3,40.7828,-73.9797,5,madrugada,01-05,norte,centro_leste,0.17601010836106606,False
2014-05-01 05:41:00,B02512,0.3698680351906134,0.2816937335260583,0.217391304347826,1,3,40.7179,-73.9895,5,madrugada,01-05,sul,centro_oeste,0.27523263146065374,False
2014-05-01 05:46:00,B02512,0.3834310850439877,0.2744239435422138,0.217391304347826,1,3,40.729,-74.0066,5,madrugada,01-05,centro_sul,oeste,0.2091400412444772,False
2014-05-01 05:49:00,B02512,0.4835043988269731,0.210271235439162,0.217391304347826,1,3,40.8109,-74.1575,5,madrugada,01-05,norte,oeste,1.103879418946524,True
2014-05-01 05:49:00,B02512,0.3662023460410566,0.2744664569339328,0.217391304347826,1,3,40.7149,-74.0065,5,madrugada,01-05,sul,oeste,0.18728750715541725,False
2014-05-01 05:56:00,B02512,0.3707233626588504,0.2738712694498737,0.217391304347826,1,3,40.7186,-74.0079,5,madrugada,01-05,sul,oeste,0.18271079446733857,False
2014-05-01 06:03:00,B02512,0.4390273704789891,0.2841169968540065,0.2608695652173913,1,3,40.7745,-73.9838,6,manha,01-05,norte,centro_leste,0.15100788507390284,False
2014-05-01 06:03:00,B02512,0.4400048875855304,0.2814386531757513,0.2608695652173913,1,3,40.7753,-73.9901,6,manha,01-05,norte,centro_oeste,0.18366640391112343,False
2014-05-01 06:07:00,B02512,0.3729227761485774,0.2736161890995667,0.2608695652173913,1,3,40.7204,-74.0085,6,manha,01-05,sul,oeste,0.1784456201033629,False
2014-05-01 06:07:00,B02512,0.3693792766373391,0.2762945327778219,0.2608695652173913,1,3,40.7175,-74.0022,6,manha,01-05,sul,oeste,0.17291840625787236,False
2014-05-01 06:07:00,B02512,0.3872189638318701,0.2821188674432449,0.2608695652173913,1,3,40.7321,-73.9885,6,manha,01-05,centro_sul,centro_oeste,0.1560973450883803,False
2014-05-01 06:08:00,B02512,0.3813538611925722,0.2805458719496663,0.2608695652173913,1,3,40.7273,-73.9922,6,manha,01-05,sul,centro_oeste,0.17729690462611103,False
2014-05-01 06:10:00,B02512,0.4294965786901272,0.283649349545108,0.2608695652173913,1,3,40.7667,-73.9849,6,manha,01-05,norte,centro_oeste,0.17882837442305996,False
